playerID,stint,G,AB,R,H,1B,2B,3B,AVG,SLG,HR,RBI,OBP,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Full Name,inducted,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,hits_per_year,runs_per_year,rbis_per_year,hr_per_year
sizemsc01,6,166,533,72,128,81,32,1,0.240150094,0.382739212,14,74,0.327272727,5,3,68,162,0,2,9,2,12,Scott Sizemore,N,185.0,72.0,3,2,4/5/2010,6/3/2014,sizes001,sizemsc01,25.6,14.4,14.8,2.8
sizemte01,14,1411,5011,577,1311,1079,188,21,0.261624426,0.321293155,23,430,0.332261522,59,46,469,350,60,20,110,38,138,Ted Sizemore,N,165.0,70.0,3,2,4/7/1969,5/27/1980,sizet101,sizemte01,100.84615384615384,44.38461538461539,33.07692307692308,1.7692307692307692
skafffr01,2,38,75,12,24,18,3,2,0.32,0.453333333,1,11,0.37037037,0,0,6,13,0,0,1,0,1,Frank Skaff,N,185.0,70.0,3,2,9/11/1935,10/3/1943,skaff101,skafffr01,12.0,6.0,5.5,0.5
skaggda01,6,205,510,44,123,100,18,2,0.241176471,0.301960784,3,49,0.309734513,0,1,51,76,1,0,14,3,12,Dave Skaggs,N,200.0,74.0,3,2,4/17/1977,10/4/1980,skagd101,skaggda01,24.6,8.8,9.8,0.6
sketcbu01,1,13,36,1,7,6,1,0,0.194444444,0.222222222,0,3,0.325581395,0,1,7,4,0,0,2,0,0,Bud Sketchley,N,180.0,70.0,2,1,4/14/1942,4/29/1942,sketb101,sketcbu01,7.0,1.0,3.0,0.0
skidmro01,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Roe Skidmore,N,188.0,75.0,3,2,9/17/1970,9/17/1970,skidr101,skidmro01,1.0,0.0,0.0,0.0
skiffbi01,2,22,56,7,14,12,2,0,0.25,0.285714286,0,11,0.25,1,1,0,5,0,0,2,0,0,Bill Skiff,N,170.0,70.0,3,2,5/17/1921,9/26/1926,skifb101,skiffbi01,7.0,3.5,5.5,0.0
skinnal01,3,2,6,1,2,2,0,0,0.333333333,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0,0,Al Skinner,N,0.0,0.0,0,0,1884-07-12,1884-07-16,skina101,skinnal01,1.0,0.5,0.0,0.0
skinnbo01,16,1381,4318,642,1198,840,197,58,0.277443261,0.421491431,103,531,0.358266912,67,36,485,646,53,17,33,20,81,Bob Skinner,N,190.0,76.0,2,2,4/13/1954,9/24/1966,skinb101,skinnbo01,85.57142857142857,45.857142857142854,37.92857142857143,7.357142857142857
skinnca01,2,34,46,2,9,7,2,0,0.195652174,0.239130435,0,3,0.212765957,1,0,0,4,0,1,0,0,0,Camp Skinner,N,165.0,71.0,2,2,5/2/1922,5/6/1923,skinc102,skinnca01,4.5,1.0,1.5,0.0
